game_id,move_number,player,from_row,from_col,to_row,to_col,piece_type,captures,promotion,classification,move_score,outcome_contribution,timestamp
79383923,1,white,6,9,5,8,pion,,False,opening,8.5,positive,2025-04-26 15:41:44
79383923,2,black,3,4,4,5,pion,,False,opening,9.5,negative,2025-04-26 15:41:44
79383923,3,white,6,1,5,2,pion,,False,opening,8.5,positive,2025-04-26 15:41:46
79383923,4,black,4,5,5,4,pion,,False,opening,9.5,negative,2025-04-26 15:41:47
79383923,5,white,6,3,4,5,pion,"5,4",False,capture,19.5,positive,2025-04-26 15:41:49
79383923,6,black,3,6,5,4,pion,"4,5",False,capture,19.5,negative,2025-04-26 15:41:49
79383923,7,white,6,5,4,3,pion,"5,4",False,capture,18.5,positive,2025-04-26 15:41:50
79383923,8,black,3,2,5,4,pion,"4,3",False,capture,19.5,negative,2025-04-26 15:41:51
79383923,9,white,7,6,6,5,pion,,False,middle_game,9.5,positive,2025-04-26 15:41:52
79383923,10,black,5,4,7,6,pion,"6,5",False,capture,18.5,negative,2025-04-26 15:41:53
79383923,11,white,8,7,6,5,pion,"7,6",False,capture,19.5,positive,2025-04-26 15:41:55
79383923,12,black,2,5,3,6,pion,,False,middle_game,8.5,negative,2025-04-26 15:41:56
79383923,13,white,6,7,5,6,pion,,False,middle_game,9.5,positive,2025-04-26 15:41:58
79383923,14,black,3,6,4,5,pion,,False,middle_game,9.5,negative,2025-04-26 15:41:58
79383923,15,white,5,6,3,4,pion,"4,5",False,capture,18.5,positive,2025-04-26 15:42:02
79383923,16,black,2,3,4,5,pion,"3,4",False,capture,19.5,negative,2025-04-26 15:42:03
79383923,17,white,7,8,6,7,pion,,False,middle_game,8.5,positive,2025-04-26 15:42:05
79383923,18,black,4,5,5,4,pion,,False,middle_game,9.5,negative,2025-04-26 15:42:05
79383923,19,white,6,5,4,3,pion,"5,4",False,capture,18.5,positive,2025-04-26 15:42:07
79383923,20,black,1,6,2,5,pion,,False,middle_game,8.5,negative,2025-04-26 15:42:08
79383923,21,white,6,7,5,6,pion,,False,middle_game,9.5,positive,2025-04-26 15:42:10
79383923,22,black,2,5,3,6,pion,,False,middle_game,8.5,negative,2025-04-26 15:42:11
79383923,23,white,7,4,6,5,pion,,False,middle_game,9.5,positive,2025-04-26 15:42:12
79383923,24,black,3,6,4,5,pion,,False,middle_game,9.5,negative,2025-04-26 15:42:13
79383923,25,white,5,6,3,4,pion,"4,5",False,capture,18.5,positive,2025-04-26 15:42:15
79383923,26,black,1,4,2,5,pion,,False,middle_game,8.5,negative,2025-04-26 15:42:16
79383923,27,white,3,4,1,6,pion,"2,5",False,capture,17.5,positive,2025-04-26 15:42:18
79383923,28,black,0,7,2,5,pion,"1,6",False,capture,18.5,negative,2025-04-26 15:42:19
79383923,29,white,6,5,5,4,pion,,False,middle_game,9.5,positive,2025-04-26 15:42:20
79383923,30,black,3,8,4,7,pion,,False,middle_game,8.5,negative,2025-04-26 15:42:20
79383923,31,white,5,8,1,4,pion,"4,7;2,5",False,multiple_capture,27.5,positive,2025-04-26 15:42:24
79383923,32,black,0,3,2,5,pion,"1,4",False,capture,18.5,negative,2025-04-26 15:42:25
79383923,33,white,8,5,7,6,pion,,False,middle_game,8.5,positive,2025-04-26 15:42:26
79383923,34,black,2,5,3,6,pion,,False,middle_game,8.5,negative,2025-04-26 15:42:27
79383923,35,white,7,6,6,7,pion,,False,middle_game,8.5,positive,2025-04-26 15:42:28
79383923,36,black,3,6,4,5,pion,,False,middle_game,9.5,negative,2025-04-26 15:42:29
79383923,37,white,5,4,3,6,pion,"4,5",False,capture,18.5,positive,2025-04-26 15:42:31
79383923,38,black,2,7,4,5,pion,"3,6",False,capture,19.5,negative,2025-04-26 15:42:32
79383923,39,white,7,2,6,3,pion,,False,middle_game,8.5,positive,2025-04-26 15:42:35
79383923,40,black,4,5,5,4,pion,,False,middle_game,9.5,negative,2025-04-26 15:42:36
79383923,41,white,6,3,4,5,pion,"5,4",False,capture,19.5,positive,2025-04-26 15:42:38
79383923,42,black,2,1,3,2,pion,,False,middle_game,7.5,negative,2025-04-26 15:42:39
79383923,43,white,4,3,0,3,pion,"3,2;1,2",True,capture_promotion,41.5,positive,2025-04-26 15:42:41
79383923,44,black,3,0,4,1,pion,,False,middle_game,7.5,negative,2025-04-26 15:42:42
79383923,45,white,5,2,3,0,pion,"4,1",False,capture,16.5,positive,2025-04-26 15:42:46
79383923,46,black,2,9,3,8,pion,,False,middle_game,7.5,negative,2025-04-26 15:42:47
79383923,47,white,4,5,3,4,pion,,False,middle_game,8.5,positive,2025-04-26 15:42:56
79383923,48,black,3,8,4,7,pion,,False,middle_game,8.5,negative,2025-04-26 15:42:57
79383923,49,white,0,3,5,8,dame,"4,7",False,king_capture,20.5,positive,2025-04-26 15:43:04
79383923,50,black,1,0,2,1,pion,,False,middle_game,6.5,negative,2025-04-26 15:43:04
79383923,51,white,3,0,1,2,pion,"2,1",False,capture,16.5,positive,2025-04-26 15:43:07
79383923,52,black,0,1,4,5,pion,"1,2;3,4",False,multiple_capture,29.5,negative,2025-04-26 15:43:08
79383923,53,white,5,8,2,5,dame,,False,middle_game,10.5,positive,2025-04-26 15:43:13
79383923,54,black,4,5,5,4,pion,,False,middle_game,9.5,negative,2025-04-26 15:43:13
79383923,55,white,8,3,7,2,pion,,False,middle_game,7.5,positive,2025-04-26 15:43:15
79383923,56,black,5,4,6,5,pion,,False,middle_game,9.5,negative,2025-04-26 15:43:16
79383923,57,white,9,4,8,5,pion,,False,middle_game,8.5,positive,2025-04-26 15:43:17
79383923,58,black,1,8,2,7,pion,,False,middle_game,7.5,negative,2025-04-26 15:43:18
79383923,59,white,7,2,6,3,pion,,False,middle_game,8.5,positive,2025-04-26 15:43:22
79383923,60,black,0,9,1,8,pion,,False,middle_game,6.5,negative,2025-04-26 15:43:23
79383923,61,white,9,2,8,3,pion,,False,middle_game,7.5,positive,2025-04-26 15:43:25
79383923,62,black,6,5,7,4,pion,,False,middle_game,8.5,negative,2025-04-26 15:43:26
79383923,63,white,8,3,6,5,pion,"7,4",False,capture,19.5,positive,2025-04-26 15:43:27
79383923,64,black,2,7,3,6,pion,,False,end_game,8.5,negative,2025-04-26 15:43:28
79383923,65,white,2,5,4,7,dame,"3,6",False,king_capture,20.5,positive,2025-04-26 15:43:29
79383923,66,black,1,8,2,7,pion,,False,end_game,7.5,negative,2025-04-26 15:43:29
